produto,quantidade_produzida_kgs,valor_venda_medio,receita_total,custo_kg
milho,100.44,24.48,2458.81,2.98
abobrinha,118.88,7.46,887.06,6.61
soja,24.38,10.07,245.53,8.21
morango,187.52,11.58,2171.01,6.1
batata,9.69,16.01,155.09,3.33
cenoura,69.04,19.38,1337.95,8.11
feijão,173.78,24.56,4268.38,2.08
tomate,184.57,14.63,2699.66,12.78
feijão,66.04,12.36,816.21,5.8
alface,148.59,20.29,3014.72,9.8
abacaxi,15.63,19.94,311.56,9.39
alface,182.69,19.43,3549.67,15.12
alface,100.71,10.85,1092.3,9.31
abacaxi,176.66,21.21,3747.51,18.04
alface,28.29,13.55,383.21,7.77
milho,121.0,13.57,1641.81,3.07
trigo,161.23,13.09,2110.91,8.71
tomate,97.44,5.57,542.81,2.26
cenoura,139.24,17.27,2404.53,16.33
alface,174.9,16.62,2906.0,2.47
alface,74.21,23.9,1773.26,18.66
milho,132.46,21.33,2825.91,16.26
tomate,123.89,13.05,1616.33,9.51
abobrinha,160.05,9.35,1497.08,4.26
arroz,81.0,15.78,1278.08,7.18
pimentão,3.06,12.56,38.41,8.22
melancia,91.46,5.62,514.18,2.68
soja,152.96,18.08,2765.33,7.38
melancia,57.03,16.77,956.56,10.32
milho,60.43,21.29,1286.61,4.54
arroz,184.71,11.37,2099.59,9.36
tomate,36.08,18.29,660.01,13.75
melão,41.29,7.63,314.89,2.05
tomate,152.46,13.02,1985.38,5.72
arroz,154.79,8.02,1241.27,5.8
milho,141.21,7.95,1122.52,3.91
cenoura,44.77,18.99,850.15,13.19
abobrinha,62.93,14.61,919.3,4.37
milho,184.58,17.79,3284.22,10.9
batata,138.69,8.93,1239.02,4.29
tomate,131.42,15.05,1978.15,13.92
tomate,52.54,16.36,859.31,11.7
melão,117.14,15.79,1849.62,9.85
batata,98.3,15.94,1566.89,8.72
feijão,92.54,19.18,1774.79,13.33
abacaxi,83.45,21.3,1777.22,13.74
melão,116.57,22.39,2610.4,14.68
batata,2.77,23.5,65.1,22.27
soja,86.56,9.97,863.08,4.79
melão,1.88,21.27,40.08,16.62
trigo,62.1,21.99,1365.8,10.31
abobrinha,146.19,24.49,3580.36,21.9
soja,149.98,12.6,1890.13,6.76
tomate,116.83,8.03,937.91,4.99
milho,7.81,19.46,151.98,9.95
milho,180.36,6.82,1230.39,3.81
feijão,48.03,18.33,880.52,16.94
cenoura,94.86,13.25,1256.42,6.05
milho,199.42,19.58,3905.26,9.12
arroz,143.09,10.85,1552.06,3.26
abacaxi,87.41,16.64,1454.74,2.41
melancia,143.82,24.94,3586.85,20.07
pimentão,139.74,21.29,2975.2,18.16
alface,86.28,15.62,1348.08,2.03
abobrinha,184.19,21.82,4019.31,2.5
abobrinha,62.74,9.9,621.4,4.12
morango,170.38,12.35,2103.75,5.45
milho,53.1,13.4,711.37,9.69
melão,40.13,23.97,961.9,20.18
abacaxi,65.97,8.55,564.01,3.56
abacaxi,173.02,18.01,3115.34,9.72
feijão,162.56,8.0,1301.32,2.83
trigo,36.61,7.74,283.28,4.31
melancia,22.18,8.24,182.86,6.12
cenoura,96.36,12.75,1229.03,5.07
abacaxi,1.13,17.78,20.05,4.01
abacaxi,142.78,14.51,2071.39,12.31
tomate,27.44,6.9,189.36,3.35
morango,114.04,8.18,932.38,4.07
abobrinha,170.64,5.53,944.06,2.01
pimentão,181.92,5.31,966.4,4.0
alface,11.39,13.17,150.04,12.44
feijão,143.17,15.08,2159.72,6.51
pimentão,99.46,15.64,1555.48,5.55
tomate,188.14,9.76,1836.43,2.55
alface,56.42,12.78,721.12,11.79
alface,95.19,16.47,1567.65,9.29
tomate,38.69,20.89,808.13,15.65
arroz,51.41,17.81,915.46,10.78
arroz,149.04,20.12,2998.54,2.83
abobrinha,129.06,16.16,2085.76,11.56
milho,14.4,10.38,149.49,6.15
trigo,65.02,9.77,635.51,5.23
feijão,129.35,16.43,2125.1,7.36
abobrinha,81.36,20.29,1650.57,9.54
abobrinha,6.25,20.09,125.49,7.59
trigo,51.94,5.99,311.15,2.35
milho,150.2,13.04,1958.92,9.74
alface,157.97,14.3,2258.53,3.67
tomate,130.03,12.68,1648.66,8.65
alface,136.73,22.29,3047.06,15.29
cenoura,9.75,11.31,110.31,6.18
tomate,33.88,21.68,734.46,13.34
abacaxi,121.68,11.69,1422.68,2.28
soja,188.46,7.31,1377.05,2.37
pimentão,47.88,24.24,1160.47,18.95
abobrinha,142.57,23.04,3284.48,10.64
melão,174.38,5.01,874.44,3.84
batata,146.48,18.06,2645.95,15.18
pimentão,123.9,21.13,2617.42,13.24
feijão,135.96,20.76,2823.12,2.15
morango,25.53,23.67,604.23,5.36
milho,52.73,15.44,813.95,4.28
trigo,109.58,14.84,1626.51,12.54
arroz,115.28,7.68,885.1,4.33
abobrinha,151.61,7.9,1198.34,2.13
tomate,23.34,13.55,316.32,6.92
milho,73.53,20.2,1485.29,8.79
morango,147.23,13.5,1987.72,6.13
trigo,4.51,8.56,38.63,2.01
pimentão,162.92,17.21,2803.56,2.35
feijão,19.82,22.93,454.5,8.79
melão,119.41,23.33,2785.86,4.73
batata,178.72,7.13,1273.51,5.59
trigo,66.65,21.52,1434.07,3.41
soja,47.32,21.66,1024.86,14.67
alface,89.37,15.38,1374.44,4.38
abacaxi,45.9,17.8,816.97,14.22
abobrinha,15.18,19.88,301.84,6.71
melancia,89.2,8.18,730.09,4.46
milho,73.34,20.93,1534.88,9.2
alface,126.79,12.04,1526.55,3.82
soja,137.17,16.05,2201.4,12.74
tomate,99.96,22.45,2244.16,14.27
milho,193.45,19.35,3744.04,4.43
trigo,18.01,5.54,99.81,3.33
melão,45.08,8.32,374.89,3.42
trigo,117.94,8.28,977.02,6.35
arroz,58.19,13.12,763.63,10.4
batata,59.54,7.47,444.88,6.58
milho,43.64,8.52,371.73,4.37
trigo,197.51,12.0,2369.82,2.74
alface,186.95,5.11,954.59,3.46
arroz,168.28,10.81,1818.58,3.33
abacaxi,35.81,17.25,617.62,7.52
milho,51.74,22.31,1154.42,15.83
melancia,142.03,8.94,1270.23,7.27
melão,25.17,9.95,250.57,4.02
batata,58.46,24.24,1417.17,17.73
batata,82.22,24.0,1973.35,11.85
soja,38.79,24.84,963.47,2.68
batata,90.84,23.36,2121.74,9.74
arroz,110.13,17.06,1878.38,4.34
trigo,128.03,9.32,1193.36,7.69
milho,47.84,19.44,930.05,4.35
abacaxi,151.03,19.25,2907.76,3.03
pimentão,36.57,7.02,256.62,5.46
melão,48.17,18.55,893.57,3.6
trigo,138.99,6.68,928.78,5.95
abacaxi,142.64,7.23,1031.39,2.65
pimentão,129.31,9.47,1224.1,2.51
melão,40.14,15.07,604.84,13.65
alface,142.19,8.77,1247.49,4.83
milho,66.61,15.53,1034.54,6.53
feijão,72.35,18.19,1316.15,2.6
pimentão,124.65,20.27,2526.04,5.24
milho,178.48,5.02,895.19,4.2
abobrinha,102.72,6.37,654.17,5.04
abobrinha,116.0,14.65,1699.99,6.38
tomate,177.0,22.5,3981.77,10.96
melancia,55.57,15.35,853.03,14.82
morango,184.63,21.48,3965.36,2.85
milho,179.91,23.49,4226.91,8.0
milho,105.18,19.71,2073.34,18.53
milho,98.45,24.04,2366.87,15.31
cenoura,7.67,14.65,112.37,7.83
trigo,11.08,24.62,272.75,10.8
milho,55.33,13.09,724.33,4.65
pimentão,123.69,9.97,1233.7,2.96
arroz,109.46,8.71,953.87,4.64
melancia,96.54,22.07,2130.52,19.18
pimentão,140.19,16.15,2263.72,2.81
soja,74.64,7.55,563.57,5.75
tomate,73.95,12.52,926.17,7.3
melão,121.3,7.93,962.08,2.67
soja,40.3,5.89,237.24,2.58
batata,32.25,9.03,291.24,7.24
abacaxi,79.75,12.87,1026.67,10.97
cenoura,133.03,13.11,1744.0,7.77
alface,48.63,24.67,1199.4,16.2
tomate,158.77,13.0,2064.73,2.5
melão,179.29,5.02,899.73,2.26
tomate,180.15,18.65,3360.37,3.09
soja,81.69,15.05,1229.26,6.48
abobrinha,39.85,10.94,435.84,7.98
alface,170.86,10.41,1778.8,6.79
feijão,21.59,6.79,146.52,4.28
trigo,34.63,8.15,282.36,4.86
alface,44.67,21.31,951.84,15.79
feijão,124.55,19.99,2489.66,9.92
batata,40.78,10.09,411.34,4.15
abobrinha,16.54,15.74,260.24,10.72
melancia,41.31,15.19,627.59,13.08
tomate,182.63,13.0,2373.59,9.25
milho,29.88,9.39,280.54,2.81
arroz,188.92,8.89,1679.81,8.11
cenoura,196.07,19.97,3915.41,5.19
cenoura,71.31,18.33,1306.96,4.49
arroz,136.65,6.17,843.22,5.64
cenoura,33.25,14.73,489.75,10.4
melão,66.42,24.04,1596.86,9.76
batata,35.93,17.6,632.27,14.29
tomate,193.79,11.51,2229.7,9.19
abacaxi,71.25,11.96,852.12,9.87
soja,77.19,8.55,660.16,8.02
milho,194.15,19.86,3856.11,17.94
feijão,17.6,11.29,198.68,6.4
trigo,86.95,22.95,1995.77,15.43
cenoura,65.84,13.38,880.59,3.66
feijão,108.1,24.44,2642.14,17.91
morango,141.75,15.79,2237.63,2.98
melancia,48.74,7.64,372.56,2.92
arroz,38.58,8.97,345.98,3.18
feijão,72.23,12.97,937.01,10.94
abobrinha,186.45,24.78,4619.67,8.49
melão,3.17,16.76,53.21,11.2
morango,17.53,5.18,90.76,4.07
abobrinha,180.33,14.96,2698.54,13.26
alface,184.33,24.18,4457.73,22.87
arroz,192.85,5.95,1147.8,3.64
melancia,75.32,13.63,1026.8,12.39
feijão,190.29,13.5,2569.47,5.51
pimentão,129.61,16.05,2080.76,6.12
soja,132.22,19.78,2615.02,9.07
milho,68.13,7.19,490.03,6.22
arroz,126.45,7.68,971.65,5.25
trigo,114.27,13.4,1531.61,6.52
melancia,70.93,7.9,560.37,5.52
melão,96.67,15.26,1475.63,13.16
melão,182.81,17.16,3136.44,12.36
melancia,188.51,8.93,1682.61,4.91
milho,177.89,23.25,4135.68,9.04
batata,24.95,10.02,250.04,9.29
abobrinha,130.68,20.18,2637.48,10.57
abacaxi,15.97,22.34,356.86,10.88
feijão,145.2,19.64,2852.18,8.22
abobrinha,68.38,17.19,1175.47,8.39
morango,104.9,10.22,1071.68,4.84
feijão,106.15,14.78,1568.49,13.69
tomate,139.78,18.3,2557.42,4.4
pimentão,124.1,11.19,1388.72,3.0
milho,2.2,5.59,12.29,3.66
soja,28.03,19.81,555.13,4.34
feijão,151.84,18.51,2810.27,16.86
milho,126.55,24.79,3137.32,8.47
abobrinha,188.29,24.22,4561.32,23.61
tomate,159.89,11.66,1864.82,4.9
melão,101.06,18.17,1836.6,2.85
pimentão,92.53,14.8,1369.89,6.03
trigo,107.64,9.3,1001.3,5.92
alface,172.92,13.35,2308.02,8.93
pimentão,175.09,16.61,2907.52,15.75
arroz,119.38,11.09,1323.66,7.73
feijão,83.89,15.04,1262.04,12.3
pimentão,112.8,8.21,925.83,2.69
melão,43.62,19.22,838.15,13.98
melão,130.81,12.48,1631.94,11.69
arroz,38.59,13.36,515.43,7.83
